HPO_label,HPO_term
Abnormal circulating antimullerian hormone concentration,HP:0031101
Telangiectasia of the skin,HP:0100585
Hypercapnia,HP:0012416
Glaucoma,HP:0000501
Developmental glaucoma,HP:0001087
Protruding ear,HP:0000411
Elevated circulating aspartate aminotransferase concentration,HP:0031956
High forehead,HP:0000348
Cachexia,HP:0004326
Macrocytic anemia,HP:0001972
Long fingers,HP:0100807
Hypoplasia of the capital femoral epiphysis,HP:0003090
Small epiphyses,HP:0010585
Hypoplasia of the uterus,HP:0000013
Aplasia/hypoplasia of the uterus,HP:0008684
Hypoplastic pelvis,HP:0008839
Aplasia/Hypoplasia involving the pelvis,HP:0009103
Abnormal uterus morphology,HP:0031105
Elevated hemoglobin A1c,HP:0040217
Myoclonic absence seizure,HP:0011150
EEG with generalized slow activity,HP:0010845
Atrioventricular canal defect,HP:0006695
Organic aciduria,HP:0001992
Long eyelashes,HP:0000527
Digital flexor tenosynovitis,HP:0012276
Transient global amnesia,HP:0010534
Systolic heart murmur,HP:0031664
Horizontal supranuclear gaze palsy,HP:0007817
Slender finger,HP:0001238
Thoracic kyphoscoliosis,HP:0005659
Midface retrusion,HP:0011800
Morphological abnormality of the semicircular canal,HP:0011380
Short uvula,HP:0010812
Waddling gait,HP:0002515
Proximal muscle weakness,HP:0003701
Mottled pigmentation,HP:0001070
obsolete Hyperkeratosis pilaris,HP:0040180
Decreased patellar reflex,HP:0011808
Reduced tendon reflexes,HP:0001315
Spinal muscular atrophy,HP:0007269
Mild expressive language delay,HP:0011346
Fatiguable weakness of proximal limb muscles,HP:0030200
Rhonchi,HP:0030831
Paraphimosis,HP:0100588
Morphea,HP:0012344
Stiff skin,HP:0030053
Abnormality of upper limb epiphysis morphology,HP:0003839
Abnormal ulnar styloid process morphology,HP:0004035
Abnormal ulnar epiphysis morphology,HP:0004037
Abnormal distal ulnar epiphysis morphology,HP:0010600
Abnormal morphology of bony orbit of skull,HP:3000030
Muscular ventricular septal defect,HP:0011623
Pilomatrixoma,HP:0030434
Pericardial effusion,HP:0001698
Thrombophlebitis,HP:0004418
Superficial thrombophlebitis,HP:0002638
Right atrial enlargement,HP:0030718
Abnormal temper tantrums,HP:0025160
Scarring,HP:0100699
Astrocytoma,HP:0009592
Malignant neoplasm of the central nervous system,HP:0100836
Premature closure of fontanelles,HP:0005458
Unicoronal synostosis,HP:0011315
Rocker bottom foot,HP:0001838
Enlargement of the ankles,HP:0003029
Synovial hypertrophy,HP:0005186
Neonatal asphyxia,HP:0012768
Abnormal aortic arch morphology,HP:0012303
Hypothermia,HP:0002045
Scapular winging,HP:0003691
Hemiatrophy,HP:0100556
Abnormal eosinophil morphology,HP:0001879
Pulmonary infiltrates,HP:0002113
Decreased liver function,HP:0001410
Disseminated intravascular coagulation,HP:0005521
Delayed social development,HP:0012434
Albinism,HP:0001022
Penoscrotal hypospadias,HP:0000808
Penoscrotal transposition,HP:0100600
Bifid scrotum,HP:0000048
Chordee,HP:0000041
Urethral fistula,HP:0010480
Gangrene,HP:0100758
EEG with spike-wave complexes,HP:0010850
EEG with temporal focal spike waves,HP:0012013
Kyphoscoliosis,HP:0002751
Congenital nystagmus,HP:0006934
Jaw swelling,HP:0030793
Male pseudohermaphroditism,HP:0000037
"Ambiguous genitalia, female",HP:0000061
Scrotal hypospadias,HP:0012853
Microphallus,HP:0030260
Lower limb asymmetry,HP:0100559
Six lumbar vertebrae,HP:0008416
Unilateral renal atrophy,HP:0008717
Renal atrophy,HP:0012585
Abnormal large intestine physiology,HP:0012700
obsolete Markedly reduced T cell function,HP:0005409
Hypophosphatemic rickets,HP:0004912
Esophageal stricture,HP:0002043
Abnormality of B cell physiology,HP:0005372
Lack of T cell function,HP:0005354
Areflexia,HP:0001284
Cerebral white matter atrophy,HP:0012762
Neoplasm of the scrotum,HP:0100849
Genital edema,HP:0031188
Neoplasm of the penis,HP:0100850
Long penis,HP:0000040
Increased muscle fatiguability,HP:0003750
Elbow pain,HP:0030835
Neurofibromas,HP:0001067
Congenital thrombocytopenia,HP:0001905
Twin-to-twin transfusion,HP:0031110
Focal dystonia,HP:0004373
Abnormality of the vestibulocochlear nerve,HP:0009591
Brachial plexus neuropathy,HP:0045054
Chylothorax,HP:0010310
Pulmonary lymphangiectasia,HP:0006521
Lymphedema,HP:0001004
Intestinal lymphangiectasia,HP:0002593
Abnormal fingernail morphology,HP:0001231
Clubbing of fingers,HP:0100759
Hip contracture,HP:0003273
Lower limb spasticity,HP:0002061
Abnormal lateral ventricle morphology,HP:0030047
Pes valgus,HP:0008081
Rigidity,HP:0002063
Abnormal inflammatory response,HP:0012647
Low-molecular-weight proteinuria,HP:0003126
Episodic pain,HP:0032148
Aciduria,HP:0012072
Neutrophilia,HP:0011897
Maternal thrombophilia,HP:0040222
Aspirin-induced asthma,HP:0012042
Adrenal calcification,HP:0010512
Apical hypertrabeculation of the left ventricle,HP:0031195
Abnormal patella morphology,HP:0003045
Uterine leiomyoma,HP:0000131
Uterine neoplasm,HP:0010784
Paroxysmal atrial fibrillation,HP:0004757
Atrial fibrillation,HP:0005110
Saccadic smooth pursuit,HP:0001152
Periventricular nodular heterotopia,HP:0032388
Dysmetria,HP:0001310
Hypoplasia of the pons,HP:0012110
Hypoplasia of the brainstem,HP:0002365
Aplasia/Hypoplasia of the brainstem,HP:0007362
Cerebellar hemisphere hypoplasia,HP:0100307
Urinary urgency,HP:0000012
Oculomotor apraxia,HP:0000657
Progressive cerebellar ataxia,HP:0002073
Increased mean corpuscular volume,HP:0005518
High-pitched cry,HP:0025430
Cat cry,HP:0200046
Cerebral white matter hypoplasia,HP:0012430
Septo-optic dysplasia,HP:0100842
Hyperlysinemia,HP:0002161
Partial absence of cerebellar vermis,HP:0002951
Hemimegalencephaly,HP:0007206
Anal stenosis,HP:0002025
Abnormal Sharpey fiber morphology,HP:0100685
Enthesitis,HP:0100686
Dental crowding,HP:0000678
Onychomycosis,HP:0012203
Myopic astigmatism,HP:0500041
Quadricuspid aortic valve,HP:0031655
Occipital neuralgia,HP:0012318
Stiff neck,HP:0025258
Hyperphenylalaninemia,HP:0004923
Reduced phenylalanine hydroxylase level,HP:0005982
Abnormal circulating phenylalanine concentration,HP:0010893
Arterial calcification,HP:0003207
Thoracic aorta calcification,HP:0004962
Calcification of the aorta,HP:0004963
Aortic arch calcification,HP:0005303
Peripheral arterial calcification,HP:0031301
Bulbous nose,HP:0000414
Deeply set eye,HP:0000490
Abnormal epiglottis morphology,HP:0005483
Microretrognathia,HP:0000308
Hyperchloriduria,HP:0002914
Ketonuria,HP:0002919
Increased urinary potassium,HP:0003081
Increased urinary cortisol level,HP:0012030
obsolete Abnormality of urine glucose concentration,HP:0011016
Recurrent fungal infections,HP:0002841
Decreased circulating IgG2 level,HP:0008348
Epididymitis,HP:0000031
Abdominal colic,HP:0011848
Joint hyperflexibility,HP:0005692
Limb dysmetria,HP:0002406
Head titubation,HP:0002599
Titubation,HP:0030187
Limb ataxia,HP:0002070
Aplasia/Hypoplasia of the cerebellar vermis,HP:0006817
Sensory ataxia,HP:0010871
Abnormal ilium morphology,HP:0002867
Thoracic kyphosis,HP:0002942
obsolete Respiratory difficulties,HP:0002880
Impaired mastication,HP:0005216
Abnormal synaptic transmission at the neuromuscular junction,HP:0003398
Spontaneous neonatal pneumothorax,HP:0004876
Ocular albinism,HP:0001107
Total anomalous pulmonary venous return,HP:0005160
Abnormality of the pulmonary veins,HP:0011718
Cardiac total anomalous pulmonary venous connection,HP:0011720
Mixed total anomalous pulmonary venous connection,HP:0011722
Female hypogonadism,HP:0000134
Hypergonadotropic hypogonadism,HP:0000815
Coombs-positive hemolytic anemia,HP:0004844
Abnormalities of placenta or umbilical cord,HP:0001194
Calcified placenta,HP:0011415
Generalized hyperreflexia,HP:0007034
Glossoptosis,HP:0000162
Ganglioneuroma,HP:0003005
Ganglioneuroblastoma,HP:0006747
Spastic paraparesis,HP:0002313
Wide intermamillary distance,HP:0006610
Elbow dislocation,HP:0003042
Radial head subluxation,HP:0003048
Abnormality of the radioulnar joints,HP:0003059
Radioulnar dislocation,HP:0006439
Delayed skeletal maturation,HP:0002750
Abnormal spinal dura mater morphology,HP:0009744
Abnormal spinal meningeal morphology,HP:0010303
Abnormal dura mater morphology,HP:0010652
Edema of the dorsum of feet,HP:0012098
Tracheal stenosis,HP:0002777
Narrow chest,HP:0000774
Fractured hand bones,HP:0004277
Osteolytic defects of the hand bones,HP:0009699
Long philtrum,HP:0000343
Left,HP:0012835
Supernumerary ribs,HP:0005815
Right,HP:0012834
Severe,HP:0012828
Right aortic arch,HP:0012020
Ectopic anus,HP:0004397
Esophageal diverticulum,HP:0100628
Diverticulosis of trachea,HP:0006509
Subglottic stenosis,HP:0001607
Angina pectoris,HP:0001681
Laryngeal stenosis,HP:0001602
Primary amenorrhea,HP:0000786
obsolete Congenital neutropenia,HP:0005549
Metaphyseal chondrodysplasia,HP:0005871
obsolete Metaphyseal dysostosis,HP:0005899
Bowing of the legs,HP:0002979
Small intestinal perforation,HP:0031370
Abnormality of the abdominal organs,HP:0002012
Abnormal esophagus morphology,HP:0002031
Hypersensitivity pneumonitis,HP:0006516
Addictive behavior,HP:0030858
White scaling skin,HP:0040190
Enamel hypomineralization,HP:0006285
White hair,HP:0011364
Hypopigmented skin patches on arms,HP:0007526
Onychogryposis,HP:0001805
Nail dystrophy,HP:0008404
Perineal hypospadias,HP:0000051
Ileal atresia,HP:0011102
Female fetal virilization,HP:0031170
Premature ovarian insufficiency,HP:0008209
Focal sensory seizure with visual features,HP:0011165
Paradoxical respiration,HP:0030207
Focal cognitive seizure with hallucination,HP:0012007
Functional abnormality of the inner ear,HP:0011389
Moderate receptive language delay,HP:0011351
Paroxysmal vertigo,HP:0010532
Penile hypospadias,HP:0003244
Thickened skin,HP:0001072
Epiblepharon,HP:0011225
Velopharyngeal insufficiency,HP:0000220
Paroxysmal choreoathetosis,HP:0007098
Hemifacial atrophy,HP:0011331
Abnormality of facial soft tissue,HP:0011799
Stiff finger,HP:0025261
Shoulder dimple,HP:0010782
Thick lower lip vermilion,HP:0000179
Cogwheel rigidity,HP:0002396
Muscle stiffness,HP:0003552
Molybdenum cofactor deficiency,HP:0003570
Forceps delivery,HP:0011411
Asthenia,HP:0025406
Recurrent patellar dislocation,HP:0005001
Abnormality of von Willebrand factor,HP:0012146
Uterine rupture,HP:0100718
Opisthotonus,HP:0002179
Multiple cafe-au-lait spots,HP:0007565
Talipes,HP:0001883
Abnormal talus morphology,HP:0008365
Abnormality of the ankles,HP:0003028
Abnormal myelination,HP:0012447
Lymphocytic interstitial pneumonia,HP:0006527
Cerebral degeneration,HP:0007313
Reduced protein C activity,HP:0005543
Abnormal mast cell morphology,HP:0100494
Cutaneous mastocytosis,HP:0200151
obsolete Abnormal tricuspid valve morphology,HP:0031440
Tricuspid atresia,HP:0011662
Congenital kyphoscoliosis,HP:0008453
Pulmonary arteriovenous malformation,HP:0006548
Abnormal circulating cholesterol concentration,HP:0003107
Abnormal circulating lipid concentration,HP:0003119
obsolete Abnormal cholesterol homeostasis,HP:0003464
Holoprosencephaly,HP:0001360
Abnormal morphology of musculature of pharynx,HP:0430015
Thin upper lip vermilion,HP:0000219
Decreased circulating aldosterone level,HP:0004319
Abnormal clavicle morphology,HP:0000889
Thin clavicles,HP:0006645
Microcolon,HP:0004388
Cerebral vasculitis,HP:0005318
Mild proteinuria,HP:0012595
Retinal detachment,HP:0000541
obsolete Abnormality of glycoprotein metabolism,HP:0004367
Abnormal bronchus morphology,HP:0025426
Stomatitis,HP:0010280
Symblepharon,HP:0430007
Abnormal eyelash morphology,HP:0000499
Peripheral edema,HP:0012398
Low levels of vitamin B2,HP:0100504
Abnormal renal artery morphology,HP:0008776
Renal artery stenosis,HP:0001920
Decreased muscle mass,HP:0003199
Narrow foot,HP:0001786
Congenital onychodystrophy,HP:0008394
Carpal bone hypoplasia,HP:0001498
Alopecia universalis,HP:0002289
Abnormal renal calyx morphology,HP:0011130
Distal muscle weakness,HP:0002460
Proximal muscle weakness in lower limbs,HP:0008994
Motor deterioration,HP:0002333
Progressive muscle weakness,HP:0003323
Progressive spasticity,HP:0002191
Progressive spastic paraparesis,HP:0007199
Limb-girdle muscle weakness,HP:0003325
Limb muscle weakness,HP:0003690
Areflexia of lower limbs,HP:0002522
EMG: chronic denervation signs,HP:0003444
Upper limb muscle weakness,HP:0003484
Absent vertebra,HP:0008465
Proximal muscle weakness in upper limbs,HP:0008997
Absent cervical vertebra,HP:0031175
Accommodative esotropia,HP:0020046
Sclerosis of foot bone,HP:0100925
Nasal regurgitation,HP:0011469
obsolete Psychic auras,HP:0011162
Abnormal pulmonary lymphatics,HP:0006529
Dysplastic pulmonary valve,HP:0005164
Hip dislocation,HP:0002827
Hyperthyroidism,HP:0000836
Abnormality of the second metatarsal bone,HP:0040034
Hemophagocytosis,HP:0012156
Abnormal uvula morphology,HP:0000172
Facial hypertrichosis,HP:0002219
Halitosis,HP:0100812
Multiple lipomas,HP:0001012
Lipomatous tumor,HP:0012031
Lipoma,HP:0012032
Oral mucosal blisters,HP:0200097
Vasculitis in the skin,HP:0200029
Leukoencephalopathy,HP:0002352
Intraalveolar phospholipid accumulation,HP:0006517
Anosmia,HP:0000458
Elliptocytosis,HP:0004445
Total hyposmia,HP:0010634
Abnormal macrophage morphology,HP:0004311
Hyperpituitarism,HP:0010514
Episodic ataxia,HP:0002131
Webbed neck,HP:0000465
Short palm,HP:0004279
Neck pterygia,HP:0009759
Short thumb,HP:0009778
Short digit,HP:0011927
Thick hair,HP:0100874
Hypocalcemic seizures,HP:0002199
Abnormal periventricular white matter morphology,HP:0002518
Subcutaneous nodule,HP:0001482
Sinus bradycardia,HP:0001688
Schizophrenia,HP:0100753
Skin nodule,HP:0200036
Spondylolysis,HP:0003304
Pierre-Robin sequence,HP:0000201
Aqueductal stenosis,HP:0002410
Porencephalic cyst,HP:0002132
Dilatation of renal calices,HP:0100581
Chapped lip,HP:0040181
Head-banging,HP:0012168
Discoid lupus rash,HP:0007417
Neonatal sepsis,HP:0040187
Dislocation of the femoral head,HP:0008826
Intracranial cystic lesion,HP:0010576
Pontocerebellar atrophy,HP:0006879
Cerebellar hemorrhage,HP:0011695
Posterior embryotoxon,HP:0000627
Abnormal ascending aorta morphology,HP:0031784
Transient hypogammaglobulinemia of infancy,HP:0005432
Laryngotracheomalacia,HP:0008755
Central hypothyroidism,HP:0011787
Limited knee extension,HP:0003066
Limited knee flexion/extension,HP:0005085
Severe combined immunodeficiency,HP:0004430
Delayed menarche,HP:0012569
Abnormal buccal mucosa morphology,HP:3000019
Fatty replacement of skeletal muscle,HP:0012548
EMG abnormality,HP:0003457
Bronchospasm,HP:0025428
Medulloblastoma,HP:0002885
Neuroendocrine neoplasm,HP:0100634
Abnormal sixth cranial nerve morphology,HP:0011348
obsolete Abducens palsy,HP:0011349
Abnormal posterior cranial fossa morphology,HP:0000932
Abnormal renal medulla morphology,HP:0100957
Medullary nephrocalcinosis,HP:0012408
Chronic oral candidiasis,HP:0009098
Kernicterus,HP:0001343
Abnormal glucose-6-phosphate dehydrogenase level,HP:0410176
Spondylolisthesis at L5-S1,HP:0008489
Spinal instability,HP:0005881
Personality disorder,HP:0012075
Borderline personality disorder,HP:0012076
Fourth cranial nerve palsy,HP:0007011
Abnormal ciliary body morphology,HP:0012776
Anhedonia,HP:0012154
Truncal titubation,HP:0030147
Abnormal saccadic eye movements,HP:0000570
Microphthalmia,HP:0000568
Unilateral microphthalmos,HP:0011480
Retinal coloboma,HP:0000480
Chorioretinal coloboma,HP:0000567
Abnormal choroid morphology,HP:0000610
Coloboma,HP:0000589
Small vessel vasculitis,HP:0011944
Mononeuropathy,HP:0009831
Stage 1 chronic kidney disease,HP:0012623
Agammaglobulinemia,HP:0004432
Abnormality of humoral immunity,HP:0005368
Pyoderma gangrenosum,HP:0025452
Skin erosion,HP:0200041
Failure to thrive in infancy,HP:0001531
Semilobar holoprosencephaly,HP:0002507
Colon cancer,HP:0003003
Neoplasm of the colon,HP:0100273
Neoplasm of the large intestine,HP:0100834
Hyperextensibility at wrists,HP:0005072
Hemihypertrophy,HP:0001528
Knee joint hypermobility,HP:0045086
Skeletal muscle hypertrophy,HP:0003712
Abnormality of the urachus,HP:0010478
Urachal cyst,HP:0012618
Umbilical cord cyst,HP:0030654
Allantoic cyst,HP:0030754
Macroorchidism,HP:0000053
Absent hair,HP:0002298
Wide penis,HP:0030265
Patchy alopecia,HP:0002232
Malposition of the stomach,HP:0100802
Dilatation of the renal pelvis,HP:0010946
Femoroacetabular impingement,HP:0030883
Mitral stenosis,HP:0001718
Juvenile cataract,HP:0001118
Radial club hand,HP:0004059
Radial dysplasia,HP:0006433
obsolete Abnormal morphology of the radius,HP:0045009
Low self esteem,HP:0031469
Exophoria,HP:0025313
Intermittent painful muscle spasms,HP:0011964
Trimethylaminuria,HP:0003614
Fish odor,HP:0410020
Difficulty running,HP:0009046
Leptomeningeal enhancement,HP:0032070
Choroidal hemangioma,HP:0007872
Exudative retinal detachment,HP:0012231
Macular scar,HP:0200056
Hypercalcemia,HP:0003072
EEG with generalized spikes,HP:0012000
Postural tremor,HP:0002174
Recurrent corneal erosions,HP:0000495
Corneal ulceration,HP:0012804
Low APGAR score,HP:0030917
Low 5-minute APGAR score,HP:0030919
Intestinal pseudo-obstruction,HP:0004389
Rigors,HP:0025145
Depressed nasal ridge,HP:0000457
Recurrent singultus,HP:0100247
Dyschromatopsia,HP:0007641
Narrow palate,HP:0000189
Frontal bossing,HP:0002007
Prominent metopic ridge,HP:0005487
Groin pain,HP:0031520
EEG with central focal spike waves,HP:0012009
EEG with focal sharp waves,HP:0011196
Stuttering,HP:0025268
Decreased circulating total IgM,HP:0002850
Scleroderma,HP:0100324
Multiple impacted teeth,HP:0001571
Ground-glass opacification,HP:0025179
Impacted tooth,HP:0011079
Lack of skin elasticity,HP:0100679
Atypical nevus,HP:0001062
Wolff-Parkinson-White syndrome,HP:0001716
Ventricular tachycardia,HP:0004756
Mixed demyelinating and axonal polyneuropathy,HP:0007327
Increased overbite,HP:0011094
Sensorimotor neuropathy,HP:0007141
Decreased CSF homovanillic acid concentration,HP:0003785
Distal amyotrophy,HP:0003693
Difficulty walking,HP:0002355
Frontal upsweep of hair,HP:0002236
Postural instability,HP:0002172
Widely spaced teeth,HP:0000687
Decreased/absent ankle reflexes,HP:0200101
Reduced brain choline level by MRS,HP:0025048
Periventricular white matter hyperintensities,HP:0030891
Abnormal brain choline/creatine ratio by MRS,HP:0012709
Decreased CSF 5-hydroxyindolacetic acid,HP:0025455
Increased CSF N-acetylaspartic acid concentration,HP:0032274
Nonprogressive restrictive external ophthalmoplegia,HP:0007831
Hypodontia,HP:0000668
Oligodontia,HP:0000677
Selective tooth agenesis,HP:0001592
Tooth agenesis,HP:0009804
Mandibular aplasia,HP:0009939
Increased HDL cholesterol concentration,HP:0012184
Pigmentary retinopathy,HP:0000580
Congenital hypertrophy of retinal pigment epithelium,HP:0007649
Abnormality of retinal pigmentation,HP:0007703
Small hand,HP:0200055
Upper-limb joint contracture,HP:0100360
Thin corpus callosum,HP:0033725
Dislocated radial head,HP:0003083
Abnormal uterine cervix morphology,HP:0012888
Cervical insufficiency,HP:0030009
Spastic gait,HP:0002064
Scissor gait,HP:0012407
Decreased fetal movement,HP:0001558
Acute hepatic failure,HP:0006554
Atrophy/Degeneration involving the corticospinal tracts,HP:0007372
Renal tubular epithelial necrosis,HP:0008682
Renal cortical necrosis,HP:0025418
Glandular hypospadias,HP:0000807
Maternal hyperphenylalaninemia,HP:0100610
Lower limb hyperreflexia,HP:0002395
Abnormal basal ganglia MRI signal intensity,HP:0012751
Lactic acidosis,HP:0003128
Increased blood urea nitrogen,HP:0003138
Elevated serum anion gap,HP:0031962
Decreased urinary 3-methylhistidine,HP:0410318
Abnormal midbrain morphology,HP:0002418
Bilateral basal ganglia lesions,HP:0007146
Stress/infection-induced lactic acidosis,HP:0004897
Abnormality of the musculature of the upper limbs,HP:0001446
Hyperintensity of cerebral white matter on MRI,HP:0030890
Vertebral wedging,HP:0008422
Cervical kyphosis,HP:0002947
Downturned corners of mouth,HP:0002714
Cervical cord compression,HP:0002341
Full cheeks,HP:0000293
Bifid uvula,HP:0000193
Cervical spine instability,HP:0010646
Fragile teeth,HP:0025124
Bitemporal hollowing,HP:0025386
Froment sign,HP:0032121
Spinal cord compression,HP:0002176
Thoracolumbar kyphosis,HP:0005619
Cervical myelopathy,HP:0002318
Diastomatomyelia,HP:0100563
Renal tubular acidosis,HP:0001947
Abnormality of the epiphysis of the femoral head,HP:0010574
Pleural thickening,HP:0031944
Drug allergy,HP:0410323
Ciliary dyskinesia,HP:0012265
Hypoplasia of the femoral head,HP:0008802
EEG with burst suppression,HP:0010851
Miosis,HP:0000616
Olivopontocerebellar hypoplasia,HP:0006955
Transient ischemic attack,HP:0002326
Stroke-like episode,HP:0002401
Barrett esophagus,HP:0100580
Midshaft hypospadias,HP:0012854
Thin skin,HP:0000963
Class III obesity,HP:0025501
Self-neglect,HP:0025479
Abnormality of the chin,HP:0000306
Seborrheic dermatitis,HP:0001051
Closed comedo,HP:0025250
Open comedo,HP:0025251
Hyperpigmented papule,HP:0025473
Recurrent viral infections,HP:0004429
Recurrent viral skin infections,HP:0011371
Stiff toe,HP:0025265
Finger pain,HP:0030837
Abnormal skeletal muscle morphology,HP:0011805
Palpebral edema,HP:0100540
Abnormal inferior alveolar artery morphology,HP:3000054
Urethral stricture,HP:0012227
Varicocele,HP:0012871
Orchitis,HP:0100796
Ureteral stenosis,HP:0000071
Urethral diverticulum,HP:0008722
Transposition of the great arteries,HP:0001669
Nasal flaring,HP:0030863
Congestive heart failure,HP:0001635
Impaired ability to dress oneself,HP:0031060
Ectopic thymus tissue,HP:0010517
Paroxysmal supraventricular tachycardia,HP:0004763
Abnormality of upper lip,HP:0000177
Broad philtrum,HP:0000289
Gingival overgrowth,HP:0000212
Abnormal thalamic MRI signal intensity,HP:0012696
Granuloma,HP:0032252
Crusting erythematous dermatitis,HP:0007473
Erythema of the eyelids,HP:0040323
Myocardial infarction,HP:0001658
Myocardial necrosis,HP:0001700
Abnormality of lower lip,HP:0000178
Neuronal loss in the cerebral cortex,HP:0007190
Temporal cortical atrophy,HP:0007112
Cerebral cortical atrophy,HP:0002120
Inappropriate antidiuretic hormone secretion,HP:0031218
Dysgraphia,HP:0010526
Esodeviation,HP:0020045
Abnormality of hair pigmentation,HP:0009887
Silver-gray hair,HP:0002218
Hyporeflexia,HP:0001265
Abnormal enzyme/coenzyme activity,HP:0012379
Abnormal circulating carnitine concentration,HP:0010967
Supernumerary nipple,HP:0002558
Single transverse palmar crease,HP:0000954
Finger clinodactyly,HP:0040019
Pseudohypoaldosteronism,HP:0008242
Rickets,HP:0002748
Long toe,HP:0010511
Cerebral dysmyelination,HP:0007266
Confluent hyperintensity of cerebral white matter on MRI,HP:0040330
Impaired smooth pursuit,HP:0007772
Feeding difficulties in infancy,HP:0008872
Confetti-like hypopigmented macules,HP:0007449
Poor coordination,HP:0002370
Galactorrhea,HP:0100829
Lamellar cataract,HP:0007971
Nevus sebaceous,HP:0010815
Epidermal nevus,HP:0010816
Nevus sebaceus,HP:0025511
Aplasia cutis congenita,HP:0001057
Osteochondritis dissecans,HP:0010886
Limited hip extension,HP:0003093
Epiphyseal dysplasia,HP:0002656
Hyperextensibility of the finger joints,HP:0001187
Adductor longus contractures,HP:0006366
Dermoid cyst,HP:0025247
Spondyloepimetaphyseal dysplasia,HP:0002651
Multiple epiphyseal dysplasia,HP:0002654
Spondyloepiphyseal dysplasia,HP:0002655
Hip osteoarthritis,HP:0008843
Cloacal abnormality,HP:0012620
Bilateral renal dysplasia,HP:0012582
Aplasia/Hypoplasia of the thumb,HP:0009601
Pilonidal sinus,HP:0010769
Pilonidal fistula,HP:0010770
Enlarged kidney,HP:0000105
Retinopathy of prematurity,HP:0500049
Dicarboxylic aciduria,HP:0003215
Torsion dystonia,HP:0001304
Thick eyebrow,HP:0000574
Almond-shaped palpebral fissure,HP:0007874
Vocal cord paralysis,HP:0001605
Asymmetry of the ears,HP:0010722
Unilateral vocal cord paralysis,HP:0008757
Vocal cord paresis,HP:0001604
Unilateral vocal cord paresis,HP:0012821
Dandy-Walker malformation,HP:0001305
Abnormal cerebellar vermis morphology,HP:0002334
Agenesis of cerebellar vermis,HP:0002335
Abnormal fourth ventricle morphology,HP:0010950
Vascular ring,HP:0010775
Asternia,HP:0010308
Bifid sternum,HP:0010309
Multifocal atrial tachycardia,HP:0011701
Rheumatoid arthritis,HP:0001370
EEG with generalized polyspikes,HP:0012001
Achilles tendonitis,HP:0025273
Biliary cirrhosis,HP:0002613
Increased circulating IgE level,HP:0003212
Neonatal hypoglycemia,HP:0001998
Otosclerosis,HP:0000362
Premature graying of hair,HP:0002216
White forelock,HP:0002211
Male infertility,HP:0003251
Abnormality of skin adnexa morphology,HP:0011138
Upper limb spasticity,HP:0006986
Autism with high cognitive abilities,HP:0000753
Abnormality of the foot musculature,HP:0001436
Brain abscess,HP:0030049
Abnormality of the tibial plateaux,HP:0003832
Hemifacial hypertrophy,HP:0005323
Diaphragmatic weakness,HP:0009113
Exercise-induced muscle fatigue,HP:0009020
Ingrown nail,HP:0012710
Amniotic constriction ring,HP:0009775
Narrow palm,HP:0004283
Aplasia/Hypoplasia involving the nose,HP:0009924
Hypoplasia of the maxilla,HP:0000327
Aplasia/Hypoplasia of the maxilla,HP:0009117
Congenital pulmonary airway malformation,HP:0010959
Increased circulating ferritin concentration,HP:0003281
Acute colitis,HP:0100282
Dilated cardiomyopathy,HP:0001644
Arterial thrombosis,HP:0004420
Atrial flutter,HP:0004749
Ventricular fibrillation,HP:0001663
Abnormality of urine homeostasis,HP:0003110
Hyperoxaluria,HP:0003159
Right ventricular failure,HP:0001708
High-output congestive heart failure,HP:0001722
Cerebral ischemia,HP:0002637
Vein of Galen aneurysmal malformation,HP:0030713
Bouchard's node,HP:0012314
Abnormal placental membrane morphology,HP:0011409
Aminoaciduria,HP:0003355
Abnormal circulating homocysteine concentration,HP:0010919
Stiff knee,HP:0025263
Abnormal brain lactate level by MRS,HP:0025045
Abnormal brain choline level by MRS,HP:0025047
Abnormal brain creatine level by MRS,HP:0025049
Abnormal brain N-acetyl aspartate level by MRS,HP:0025052
Hyperhomocystinemia,HP:0002160
Elevated circulating acylcarnitine concentration,HP:0045045
Small placenta,HP:0006266
Absent testis,HP:0010469
Distal arthrogryposis,HP:0005684
Complete atrioventricular canal defect,HP:0001674
Viremia,HP:0020071
Intermittent thrombocytopenia,HP:0004854
Common atrium,HP:0011565
Inlet ventricular septal defect,HP:0011622
Incomprehensible speech,HP:0002546
Abnormal mitochondria in muscle tissue,HP:0008316
Sex reversal,HP:0012245
"Female external genitalia in individual with 46,XY karyotype",HP:0008730
"Gonadal dysgenesis, male",HP:0008668
Abnormal olecranon morphology,HP:0004032
Focal cortical dysplasia,HP:0032046
Parageusia,HP:0031249
Supranuclear ophthalmoplegia,HP:0000623
Abnormal urinary color,HP:0012086
Abnormal mitochondrial morphology,HP:0008322
Recurrent bronchopulmonary infections,HP:0006538
Elevated sweat chloride,HP:0012236
Membranous nephropathy,HP:0012578
B-cell lymphoma,HP:0012191
Non-Hodgkin lymphoma,HP:0012539
Hypoplasia of eyelid,HP:0430009
Anterior open-bite malocclusion,HP:0009102
Open bite,HP:0010807
obsolete Anterior open bite,HP:0200095
Long neck,HP:0000472
Small fontanelle,HP:0005486
Myoclonic seizure,HP:0032794
Positive Romberg sign,HP:0002403
Severe hydrocephalus,HP:0006882
Communicating hydrocephalus,HP:0001334
Grade I preterm intraventricular hemorrhage,HP:0030748
